org_name,ein,year,officer_comp,executive_director,title,source_url,notes
Philadelphia Chinatown Development Corporation,237439723,2023,87633,,,,
Project HOME,232555950,2011,173840,,,,
Project HOME,232555950,2012,274345,,,,
Project HOME,232555950,2013,288150,,,,
Project HOME,232555950,2014,349673,,,,
Project HOME,232555950,2015,336438,,,,
Project HOME,232555950,2016,346089,,,,
Project HOME,232555950,2017,518809,,,,
Project HOME,232555950,2018,648642,,,,
Project HOME,232555950,2019,688751,,,,
Project HOME,232555950,2020,523610,,,,
Project HOME,232555950,2021,562714,,,,
Project HOME,232555950,2022,536840,,,,
Project HOME,232555950,2023,1205611,,,,
Southwest CDC,232491247,2011,77648,,,,
Southwest CDC,232491247,2012,104250,,,,
Southwest CDC,232491247,2013,123152,,,,
Southwest CDC,232491247,2014,145212,,,,
Southwest CDC,232491247,2015,0,,,,
Southwest CDC,232491247,2016,152329,,,,
Southwest CDC,232491247,2017,82030,,,,
Southwest CDC,232491247,2018,77724,,,,
Southwest CDC,232491247,2019,80657,,,,
Southwest CDC,232491247,2020,86395,,,,
Southwest CDC,232491247,2021,87984,,,,
Southwest CDC,232491247,2022,92039,,,,
Southwest CDC,232491247,2023,93031,,,,
Tacony CDC,233052060,2012,0,,,,
Tacony CDC,233052060,2012,,,,,
Tacony CDC,233052060,2013,0,,,,
Tacony CDC,233052060,2014,0,,,,
Tacony CDC,233052060,2015,60500,,,,
Tacony CDC,233052060,2016,63250,,,,
Tacony CDC,233052060,2017,65000,,,,
Tacony CDC,233052060,2018,67500,,,,
Tacony CDC,233052060,2019,67500,,,,
Tacony CDC,233052060,2020,72500,,,,
Tacony CDC,233052060,2021,72500,,,,
Tacony CDC,233052060,2022,63968,,,,
Tacony CDC,233052060,2023,88615,,,,
Tacony CDC,233052060,2024,106103,,,,
Tioga United,233101958,2010,0,,,,
Tioga United,233101958,2011,0,,,,
Tioga United,233101958,2012,0,,,,
Tioga United,233101958,2013,0,,,,
Tioga United,233101958,2014,0,,,,
Tioga United,233101958,2015,0,,,,
Tioga United,233101958,2020,,,,,
Tioga United,233101958,2021,,,,,
Tioga United,233101958,2022,71467,,,,
Tioga United,233101958,2023,0,,,,
Women's Community Revitalization Project,222840188,2011,121293,,,,
Women's Community Revitalization Project,222840188,2012,126126,,,,
Women's Community Revitalization Project,222840188,2013,126319,,,,
Women's Community Revitalization Project,222840188,2014,124365,,,,
Women's Community Revitalization Project,222840188,2015,105094,,,,
Women's Community Revitalization Project,222840188,2016,101046,,,,
Women's Community Revitalization Project,222840188,2017,103050,,,,
Women's Community Revitalization Project,222840188,2018,126192,,,,
Women's Community Revitalization Project,222840188,2019,136233,,,,
Women's Community Revitalization Project,222840188,2020,140425,,,,
Women's Community Revitalization Project,222840188,2021,140520,,,,
Women's Community Revitalization Project,222840188,2022,140520,,,,
Women's Community Revitalization Project,222840188,2023,91943,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2011,,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2012,,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2013,75000,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2014,77250,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2015,77250,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2016,82250,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2017,87250,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2018,87750,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2019,85000,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2020,,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2021,,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2022,72500,,,,
Wynnefield Overbrook Revitalization Corporation,830444104,2023,70000,,,,
Center City District,232701217,2011,0,,,,
Center City District,232701217,2012,0,,,,
Center City District,232701217,2013,0,,,,
Center City District,232701217,2014,0,,,,
Center City District,232701217,2015,0,,,,
Center City District,232701217,2016,0,,,,
Center City District,232701217,2017,0,,,,
Center City District,232701217,2018,0,,,,
Center City District,232701217,2019,0,,,,
Center City District,232701217,2020,0,,,,
Center City District,232701217,2021,0,,,,
Center City District,232701217,2022,0,,,,
Center City District,232701217,2023,0,,,,
Chestnut Hill Business Improvement District,841629688,2011,0,,,,
Chestnut Hill Business Improvement District,841629688,2012,0,,,,
Chestnut Hill Business Improvement District,841629688,2013,0,,,,
Chestnut Hill Business Improvement District,841629688,2014,0,,,,
Chestnut Hill Business Improvement District,841629688,2015,0,,,,
Chestnut Hill Business Improvement District,841629688,2016,0,,,,
Chestnut Hill Business Improvement District,841629688,2017,0,,,,
Chestnut Hill Business Improvement District,841629688,2018,0,,,,
Chestnut Hill Business Improvement District,841629688,2019,0,,,,
Chestnut Hill Business Improvement District,841629688,2020,0,,,,
Chestnut Hill Business Improvement District,841629688,2021,0,,,,
Chestnut Hill Business Improvement District,841629688,2022,0,,,,
Chestnut Hill Business Improvement District,841629688,2023,7623,,,,
East Passyunk Business Improvement District,134237027,2010,69808,,,,
East Passyunk Business Improvement District,134237027,2011,70000,,,,
East Passyunk Business Improvement District,134237027,2012,71696,,,,
East Passyunk Business Improvement District,134237027,2013,74263,,,,
East Passyunk Business Improvement District,134237027,2014,73463,,,,
East Passyunk Business Improvement District,134237027,2015,78780,,,,
East Passyunk Business Improvement District,134237027,2016,80250,,,,
East Passyunk Business Improvement District,134237027,2017,57464,,,,
East Passyunk Business Improvement District,134237027,2018,73746,,,,
East Passyunk Business Improvement District,134237027,2019,78659,,,,
East Passyunk Business Improvement District,134237027,2020,82041,,,,
East Passyunk Business Improvement District,134237027,2021,84095,,,,
East Passyunk Business Improvement District,134237027,2022,85828,,,,
East Passyunk Business Improvement District,134237027,2023,75192,,,,
Fishtown Kensington Area Business Improvement District,844037072,2020,89583,,,,
Fishtown Kensington Area Business Improvement District,844037072,2021,0,,,,
Fishtown Kensington Area Business Improvement District,844037072,2022,94027,,,,
